image,list_id
stimuli\S01.png,1
stimuli\S02.png,2
stimuli\S03.png,3
stimuli\S04.png,2
stimuli\S05.png,1
stimuli\S06.png,2
stimuli\S07.png,1
stimuli\S08.png,2
stimuli\S09.png,1
stimuli\S10.png,2
stimuli\S11.png,3
stimuli\S12.png,1
stimuli\S13.png,3
stimuli\S14.png,2
stimuli\S15.png,3
stimuli\S16.png,3
stimuli\S17.png,1
stimuli\S18.png,1
stimuli\S19.png,2
stimuli\S20.png,3
stimuli\S21.png,2
stimuli\S22.png,3
stimuli\S23.png,1
stimuli\S24.png,2
stimuli\S25.png,1
stimuli\S26.png,3
stimuli\S27.png,2
stimuli\S28.png,1
stimuli\S29.png,3
stimuli\S30.png,3
stimuli\S31.png,1
stimuli\S32.png,3
stimuli\S33.png,2
stimuli\S34.png,3
stimuli\S35.png,1
stimuli\S36.png,2
